id,species,genus,family,order,class,phylum,accession
MitoFish_mf_024673,Trimma striatum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024673
MitoFish_mf_024674,Trimma tauroculum,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024674
MitoFish_mf_024675,Trimma taylori,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024675
MitoFish_mf_024676,Trimma tevegae,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024676
MitoFish_mf_024677,Trimma milta,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024677
MitoFish_mf_024678,Trimma okinawae,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024678
MitoFish_mf_024679,Trimma sp. CBM DNA No. 2008-128,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024679
MitoFish_mf_024680,Trimma nasa,Trimma,Gobiidae,Gobiiformes,Actinopteri,Chordata,MitoFish_mf_024680
MitoFish_mf_024687,Pleuronichthys coenosus,Pleuronichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024687
MitoFish_mf_024691,Lepidopsetta polyxystra,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024691
MitoFish_mf_024694,Lyopsetta exilis,Lyopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024694
MitoFish_mf_024703,Pleuronichthys decurrens,Pleuronichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024703
MitoFish_mf_024711,Citharichthys sordidus,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024711
MitoFish_mf_024720,Clidoderma asperrimum,Clidoderma,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024720
MitoFish_mf_024721,Asterorhombus cocosensis,Asterorhombus,Bothidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024721
MitoFish_mf_024722,Engyophrys senta,Engyophrys,Bothidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_024722
MitoFish_mf_024726,Siganus doliatus,Siganus,Siganidae,NA,Actinopteri,Chordata,MitoFish_mf_024726
MitoFish_mf_024727,Rondeletia loricata,Rondeletia,Rondeletiidae,Beryciformes,Actinopteri,Chordata,MitoFish_mf_024727
MitoFish_mf_024728,Bolinichthys indicus,Bolinichthys,Myctophidae,Myctophiformes,Actinopteri,Chordata,MitoFish_mf_024728
